Round,Client ID,Accuracy
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.013605442176870748
0,4,0.0
0,5,0.017241379310344827
0,6,0.0
0,7,0.00546448087431694
0,8,0.047619047619047616
0,9,0.022727272727272728
0,10,0.03164556962025317
0,11,0.0
0,12,0.015037593984962405
0,13,0.018867924528301886
0,14,0.012195121951219513
0,15,0.0053475935828877
0,16,0.06756756756756757
0,17,0.0
0,18,0.012658227848101266
0,19,0.006578947368421052
0,20,0.007042253521126761
0,21,0.0
0,22,0.05660377358490566
0,23,0.006329113924050633
0,24,0.007692307692307693
0,25,0.011111111111111112
0,26,0.0
0,27,0.04929577464788732
0,28,0.0
0,29,0.0
0,30,0.0
0,31,0.0
0,32,0.012345679012345678
0,33,0.011627906976744186
0,34,0.04430379746835443
0,35,0.018633540372670808
0,36,0.0
0,37,0.056962025316455694
0,38,0.0
0,39,0.0
0,40,0.006578947368421052
0,41,0.0
0,42,0.0
0,43,0.0
0,44,0.02531645569620253
0,45,0.0
0,46,0.0
0,47,0.022988505747126436
0,48,0.024096385542168676
0,49,0.006329113924050633
1,0,0.08461538461538462
1,1,0.0
1,2,0.0
1,3,0.1564625850340136
1,4,0.20496894409937888
1,5,0.09770114942528736
1,6,0.05454545454545454
1,7,0.0
1,8,0.01904761904761905
1,9,0.015151515151515152
1,10,0.012658227848101266
1,11,0.07975460122699386
1,12,0.0
1,13,0.025157232704402517
1,14,0.04878048780487805
1,15,0.026737967914438502
1,16,0.0
1,17,0.0
1,18,0.03164556962025317
1,19,0.10526315789473684
1,20,0.02112676056338028
1,21,0.005681818181818182
1,22,0.006289308176100629
1,23,0.08227848101265822
1,24,0.12307692307692308
1,25,0.03333333333333333
1,26,0.0
1,27,0.02112676056338028
1,28,0.11949685534591195
1,29,0.0
1,30,0.0
1,31,0.0
1,32,0.09259259259259259
1,33,0.0
1,34,0.012658227848101266
1,35,0.0
1,36,0.0
1,37,0.056962025316455694
1,38,0.0
1,39,0.0
1,40,0.0
1,41,0.11971830985915492
1,42,0.007874015748031496
1,43,0.05917159763313609
1,44,0.03164556962025317
1,45,0.0
1,46,0.07272727272727272
1,47,0.0
1,48,0.03614457831325301
1,49,0.17721518987341772
2,0,0.0
2,1,0.023121387283236993
2,2,0.0
2,3,0.061224489795918366
2,4,0.17391304347826086
2,5,0.034482758620689655
2,6,0.12121212121212122
2,7,0.3333333333333333
2,8,0.0
2,9,0.007575757575757576
2,10,0.012658227848101266
2,11,0.03680981595092025
2,12,0.15789473684210525
2,13,0.08176100628930817
2,14,0.036585365853658534
2,15,0.026737967914438502
2,16,0.04054054054054054
2,17,0.007142857142857143
2,18,0.0379746835443038
2,19,0.039473684210526314
2,20,0.035211267605633804
2,21,0.028409090909090908
2,22,0.2830188679245283
2,23,0.0949367088607595
2,24,0.015384615384615385
2,25,0.05555555555555555
2,26,0.12138728323699421
2,27,0.09154929577464789
2,28,0.08176100628930817
2,29,0.012658227848101266
2,30,0.006211180124223602
2,31,0.00909090909090909
2,32,0.14814814814814814
2,33,0.011627906976744186
2,34,0.02531645569620253
2,35,0.2111801242236025
2,36,0.00510204081632653
2,37,0.012658227848101266
2,38,0.09433962264150944
2,39,0.0379746835443038
2,40,0.013157894736842105
2,41,0.04929577464788732
2,42,0.015748031496062992
2,43,0.011834319526627219
2,44,0.06962025316455696
2,45,0.12962962962962962
2,46,0.0
2,47,0.13218390804597702
2,48,0.0
2,49,0.13291139240506328
3,0,0.08461538461538462
3,1,0.0
3,2,0.0
3,3,0.17006802721088435
3,4,0.2546583850931677
3,5,0.1206896551724138
3,6,0.05454545454545454
3,7,0.01092896174863388
3,8,0.09523809523809523
3,9,0.015151515151515152
3,10,0.012658227848101266
3,11,0.07975460122699386
3,12,0.0
3,13,0.025157232704402517
3,14,0.04878048780487805
3,15,0.026737967914438502
3,16,0.02702702702702703
3,17,0.0
3,18,0.03164556962025317
3,19,0.1118421052631579
3,20,0.007042253521126761
3,21,0.005681818181818182
3,22,0.006289308176100629
3,23,0.08860759493670886
3,24,0.12307692307692308
3,25,0.03333333333333333
3,26,0.0
3,27,0.04929577464788732
3,28,0.11949685534591195
3,29,0.0
3,30,0.0
3,31,0.0
3,32,0.09259259259259259
3,33,0.0
3,34,0.012658227848101266
3,35,0.0
3,36,0.0
3,37,0.056962025316455694
3,38,0.0
3,39,0.0
3,40,0.0
3,41,0.1267605633802817
3,42,0.007874015748031496
3,43,0.05917159763313609
3,44,0.03164556962025317
3,45,0.0
3,46,0.07272727272727272
3,47,0.028735632183908046
3,48,0.03614457831325301
3,49,0.17088607594936708
4,0,0.0
4,1,0.017341040462427744
4,2,0.06790123456790123
4,3,0.08843537414965986
4,4,0.006211180124223602
4,5,0.1781609195402299
4,6,0.08484848484848485
4,7,0.12021857923497267
4,8,0.1523809523809524
4,9,0.06060606060606061
4,10,0.05063291139240506
4,11,0.012269938650306749
4,12,0.0
4,13,0.006289308176100629
4,14,0.036585365853658534
4,15,0.24064171122994651
4,16,0.13513513513513514
4,17,0.014285714285714285
4,18,0.18354430379746836
4,19,0.10526315789473684
4,20,0.08450704225352113
4,21,0.125
4,22,0.0
4,23,0.0949367088607595
4,24,0.046153846153846156
4,25,0.044444444444444446
4,26,0.0
4,27,0.07042253521126761
4,28,0.0
4,29,0.03164556962025317
4,30,0.18012422360248448
4,31,0.013636363636363636
4,32,0.0
4,33,0.20348837209302326
4,34,0.012658227848101266
4,35,0.0
4,36,0.1326530612244898
4,37,0.0
4,38,0.0
4,39,0.056962025316455694
4,40,0.16447368421052633
4,41,0.04929577464788732
4,42,0.11023622047244094
4,43,0.1834319526627219
4,44,0.06962025316455696
4,45,0.018518518518518517
4,46,0.08484848484848485
4,47,0.09770114942528736
4,48,0.15060240963855423
4,49,0.03164556962025317
5,0,0.0
5,1,0.023121387283236993
5,2,0.0
5,3,0.1564625850340136
5,4,0.2981366459627329
5,5,0.06896551724137931
5,6,0.12121212121212122
5,7,0.12568306010928962
5,8,0.01904761904761905
5,9,0.007575757575757576
5,10,0.012658227848101266
5,11,0.03680981595092025
5,12,0.15789473684210525
5,13,0.08176100628930817
5,14,0.036585365853658534
5,15,0.026737967914438502
5,16,0.10810810810810811
5,17,0.007142857142857143
5,18,0.06329113924050633
5,19,0.19736842105263158
5,20,0.056338028169014086
5,21,0.028409090909090908
5,22,0.2830188679245283
5,23,0.15822784810126583
5,24,0.015384615384615385
5,25,0.05555555555555555
5,26,0.12138728323699421
5,27,0.035211267605633804
5,28,0.20125786163522014
5,29,0.012658227848101266
5,30,0.018633540372670808
5,31,0.00909090909090909
5,32,0.17901234567901234
5,33,0.046511627906976744
5,34,0.02531645569620253
5,35,0.2111801242236025
5,36,0.00510204081632653
5,37,0.012658227848101266
5,38,0.09433962264150944
5,39,0.0379746835443038
5,40,0.013157894736842105
5,41,0.1267605633802817
5,42,0.015748031496062992
5,43,0.09467455621301775
5,44,0.06962025316455696
5,45,0.13580246913580246
5,46,0.0
5,47,0.11494252873563218
5,48,0.030120481927710843
5,49,0.13291139240506328
6,0,0.0
6,1,0.3236994219653179
6,2,0.037037037037037035
6,3,0.1292517006802721
6,4,0.07453416149068323
6,5,0.08045977011494253
6,6,0.01818181818181818
6,7,0.09836065573770492
6,8,0.047619047619047616
6,9,0.0
6,10,0.0
6,11,0.3558282208588957
6,12,0.007518796992481203
6,13,0.0
6,14,0.3475609756097561
6,15,0.0053475935828877
6,16,0.0945945945945946
6,17,0.02142857142857143
6,18,0.14556962025316456
6,19,0.3157894736842105
6,20,0.14084507042253522
6,21,0.24431818181818182
6,22,0.0
